text,label
"Congratulations! You’ve won $10,000! Click here to claim your prize now! Limited time offer.",spam
"Earn money fast! Work from home and make $5,000 per week. Sign up today.",spam
"Can you confirm the details for the upcoming event?",non-spam
"Your account has been suspended. Please contact support immediately.",spam
"Get a free iPhone now! Limited stock available.",spam
"Meeting rescheduled to next Monday at 10 AM.",non-spam
"Reminder: Your appointment is tomorrow at 3 PM.",non-spam
"Win a brand new car! Enter the contest now!",spam
"Your subscription is about to expire. Renew now to continue enjoying our services.",spam
"Can you send me the report by end of day?",non-spam
"Don't miss out on this exclusive offer! Buy one, get one free.",spam
"Please review the attached document and provide your feedback.",non-spam
"Urgent: Update your payment information to avoid service interruption.",spam
"Join us for a webinar on the latest industry trends.",non-spam
"Congratulations! You've been selected for a special discount.",spam
"Can we reschedule our meeting to next week?",non-spam
"Your package is on its way. Track your shipment here.",non-spam
"Limited time offer: Save 50% on your next purchase.",spam
"Please find the meeting agenda attached.",non-spam
"Your account has been credited with $100. Check your balance now.",spam
"Reminder: Team meeting tomorrow at 9 AM.",non-spam
"Exclusive deal: Get 30% off on all items. Shop now!",spam
"Can you please send me the latest sales figures?",non-spam
"Your order has been shipped. Track your delivery here.",non-spam
"Congratulations! You've won a free vacation. Claim your prize now.",spam
"Please join us for a company-wide town hall meeting.",non-spam
"Your payment is overdue. Please pay your bill to avoid late fees.",spam
"Can you help me with the project proposal?",non-spam
"Special promotion: Buy one, get one free. Limited time only.",spam
"Your account has been locked. Reset your password now.",spam
"Reminder: Submit your timesheet by end of day.",non-spam
"Win a $500 gift card! Enter the sweepstakes now.",spam
"Please review the attached invoice and let me know if you have any questions.",non-spam
"Your loan application has been approved. Sign the documents now.",spam
"Join us for a virtual happy hour this Friday.",non-spam
"Your account has been charged $50. View your statement here.",spam
"Can you provide an update on the project status?",non-spam
"Congratulations! You've been pre-approved for a credit card.",spam
"Reminder: Company picnic this Saturday at 12 PM.",non-spam
"Your account has been compromised. Change your password immediately.",spam
"Please find the attached presentation for tomorrow's meeting.",non-spam
"Win a free trip to Hawaii! Enter now for a chance to win.",spam
"Can you send me the contact information for the new client?",non-spam
"Your subscription has been renewed. Thank you for your payment.",non-spam
"Special offer: Get 20% off your next purchase. Use code SAVE20.",spam
"Reminder: Quarterly review meeting next week.",non-spam
"Your account has been debited $200. View transaction details here.",spam
"Can you please send me the updated project plan?",non-spam
"Congratulations! You've won a $1,000 shopping spree. Claim your prize now.",spam
"Please join us for a training session on the new software.",non-spam
"Your payment has been received. Thank you for your business.",non-spam
"Special promotion: Get a free gift with every purchase. Limited time offer.",spam
"Reminder: Submit your expense reports by Friday.",non-spam
"Your account has been credited with $50. Check your balance now.",spam
"Can you provide the latest financial report?",non-spam
"Congratulations! You've been selected for a free trial. Sign up now.",spam
"Please find the attached minutes from the last meeting.",non-spam
"Your order has been delivered. Thank you for shopping with us.",non-spam
"Special offer: Get 40% off on all items. Shop now!",spam
"Reminder: Team lunch tomorrow at 12 PM.",non-spam
"Your account has been suspended due to suspicious activity. Contact support.",spam
"Can you send me the presentation slides from the conference?",non-spam
"Congratulations! You've won a free gift card. Claim your prize now.",spam
"Please join us for a product demo next week.",non-spam
"Your payment is due. Pay now to avoid late fees.",spam
"Can you help me with the budget report?",non-spam
"Special promotion: Buy two, get one free. Limited time only.",spam
"Your account has been locked due to multiple failed login attempts.",spam
"Reminder: Submit your performance review by end of month.",non-spam
"Win a free laptop! Enter the contest now.",spam
"Please review the attached contract and provide your feedback.",non-spam
"Your loan has been approved. Sign the documents now.",spam
"Join us for a virtual team-building event this Friday.",non-spam
"Your account has been charged $100. View your statement here.",spam
"Can you provide an update on the marketing campaign?",non-spam
"Congratulations! You've been pre-approved for a personal loan.",spam
"Reminder: Company holiday party next Friday at 6 PM.",non-spam
"Your account has been compromised. Change your password immediately.",spam
"Please find the attached report for your review.",non-spam
"Win a free vacation! Enter now for a chance to win.",spam
"Can you send me the latest client list?",non-spam
"Your subscription has been renewed. Thank you for your payment.",non-spam
"Special offer: Get 25% off your next purchase. Use code SAVE25.",spam
"Reminder: Monthly team meeting next Monday at 10 AM.",non-spam
"Your account has been debited $150. View transaction details here.",spam
"Can you please send me the updated sales report?",non-spam
"Congratulations! You've won a $500 shopping spree. Claim your prize now.",spam
"Please join us for a training session on the new system.",non-spam
"Your payment has been received. Thank you for your business.",non-spam
